method,trial,status,validation_loss,num_layers,hidden_dim,layer_type,activation,pooling,optimizer_type,learning_rate,weight_decay,batch_size,elapsed_seconds,error,dropout
Optuna-tpe,100,completed,4.43995475769043,2,32,GAT,ELU,MAX,ADAM,0.0003686799399891916,1e-06,16,6.088456,,0.20058226671457297
Optuna-tpe,101,completed,0.8661726713180542,3,32,GAT,RELU,ADD,ADAM,0.0004810799704444146,0.0001,16,52.718573,,0.0925872571891124
Optuna-tpe,102,completed,0.7523360252380371,3,32,GAT,RELU,ADD,ADAM,0.0007161468291805344,0.0001,16,62.266999,,0.10696845267714672
Optuna-tpe,103,completed,0.7138279676437378,3,32,GAT,RELU,ADD,ADAM,0.0006881366850139942,0.0001,16,54.365735,,0.11030437585225639
Optuna-tpe,104,completed,0.7817005515098572,3,32,GAT,RELU,ADD,ADAM,0.00032143251415038895,0.0001,16,48.59794,,0.1243413227026972
Optuna-tpe,105,completed,0.9505125880241394,3,32,GAT,RELU,ADD,ADAM,0.0001927617652484974,0.0001,16,38.543983,,0.10859910164854272
Optuna-tpe,106,completed,4.1150712966918945,3,128,GAT,RELU,MEAN_MAX,SGD,0.00030276668467343594,0.0001,16,8.280346,,0.15434296399479983
Optuna-tpe,107,completed,0.9661479592323303,3,32,GAT,RELU,ADD,ADAM,0.009635859269313962,0.0001,16,11.06411,,0.122320126549744
Optuna-tpe,108,completed,0.6712036728858948,3,512,GRAPH_SAGE,RELU,ADD,ADAM,0.000252282428713673,0.0001,16,24.500041,,0.137637309090952
Optuna-tpe,109,completed,0.7277551889419556,3,512,GRAPH_SAGE,RELU,ADD,ADAM,0.000709357650057719,0.0001,16,14.462943,,0.137043464959857
Optuna-tpe,110,completed,1.017206072807312,3,512,GRAPH_SAGE,GELU,ADD,ADAM,0.0009382900773348238,0.0001,16,10.301937,,0.14103002504153553
Optuna-tpe,111,completed,0.7951806783676147,3,512,GRAPH_SAGE,RELU,ADD,ADAM,0.0007544464292732748,0.0001,16,13.072363,,0.13190766488174774
Optuna-tpe,112,completed,0.813328206539154,3,512,GRAPH_SAGE,RELU,ADD,ADAM,0.0006170148196148769,0.0001,16,12.784361,,0.13489494091691193
Optuna-tpe,113,completed,0.7403112053871155,3,512,GRAPH_SAGE,RELU,ADD,ADAM,0.0007571253787536517,0.0001,16,19.64245,,0.12458416340323349
Optuna-tpe,114,completed,0.8671762347221375,3,512,GRAPH_SAGE,RELU,ADD,ADAM,0.0011447540561782695,0.0001,16,11.360101,,0.12122505182736304
Optuna-tpe,115,completed,0.7403494715690613,3,512,GRAPH_SAGE,RELU,ADD,ADAM,0.0010492856729350506,1e-05,16,22.339456,,0.10804288775669754
Optuna-tpe,116,completed,0.7363899350166321,3,512,GRAPH_SAGE,RELU,ADD,ADAM,0.0010559488428713488,1e-05,16,16.918816,,0.15026046062054726
Optuna-tpe,117,completed,0.8211544156074524,3,512,GRAPH_SAGE,RELU,ADD,ADAM,0.0019328695572565467,1e-05,256,1.559055,,0.10535341678292588
Optuna-tpe,118,completed,2.488161563873291,3,512,GRAPH_SAGE,TANH,ADD,ADAM,0.001259719991244161,1e-05,16,7.254413,,0.14461507684008168
Optuna-tpe,119,completed,0.6494334936141968,3,512,GRAPH_SAGE,RELU,ADD,RMSPROP,0.0014787821220516688,1e-05,16,21.117591,,0.126978553700229
Optuna-tpe,120,completed,0.7004711627960205,3,512,GRAPH_SAGE,RELU,ADD,RMSPROP,0.0021025003628289025,1e-05,32,11.172987,,0.1574931542110687
Optuna-tpe,121,completed,0.7091230750083923,3,512,GRAPH_SAGE,RELU,ADD,RMSPROP,0.001610360723069689,1e-05,16,19.24433,,0.1888707643863633
Optuna-tpe,122,completed,0.9191051125526428,3,512,GRAPH_SAGE,RELU,ADD,RMSPROP,0.003189422827870955,1e-05,32,5.679031,,0.17521746065873325
Optuna-tpe,123,completed,0.8080525398254395,3,512,GRAPH_SAGE,RELU,ADD,RMSPROP,0.0020678802833086992,1e-05,32,7.058165,,0.18225859372636494
Optuna-tpe,124,completed,0.9188070297241211,3,512,GRAPH_SAGE,RELU,ADD,RMSPROP,0.002274994705985548,1e-05,32,6.367149,,0.15780985420856966
Optuna-tpe,125,completed,0.7458025217056274,3,512,GRAPH_SAGE,RELU,ADD,RMSPROP,0.0010625136084078885,1e-05,32,8.417775,,0.19267377566797422
Optuna-tpe,126,completed,0.9528756141662598,3,512,GRAPH_SAGE,RELU,ADD,RMSPROP,0.0015692536414772746,1e-05,32,7.755351,,0.2227136886248209
Optuna-tpe,127,completed,1.3674654960632324,3,512,GRAPH_SAGE,RELU,MEAN,RMSPROP,0.001730565336608451,1e-05,32,5.232625,,0.19159780630364803
Optuna-tpe,128,completed,0.7993327379226685,3,512,GRAPH_SAGE,RELU,ADD,RMSPROP,0.0015942148358967278,1e-05,32,7.748387,,0.16763028905276015
Optuna-tpe,129,completed,47.438926696777344,3,512,GRAPH_SAGE,ELU,MAX,RMSPROP,0.0010783471262386533,1e-05,32,2.35983,,0.24210184657068676
Optuna-tpe,130,completed,6.3913068771362305,5,512,GRAPH_SAGE,RELU,MEAN_MAX,RMSPROP,0.0014342916887047795,1e-05,32,16.387693,,0.28227213907076865
Optuna-tpe,131,completed,0.6914533376693726,3,512,GRAPH_SAGE,RELU,ADD,RMSPROP,0.0008801545853053774,1e-05,16,20.574942,,0.15028407558625728
Optuna-tpe,132,completed,0.6737757325172424,3,512,GRAPH_SAGE,RELU,ADD,RMSPROP,0.0008959413253168818,1e-05,16,20.914741,,0.20776604445728225
Optuna-tpe,133,completed,0.7402812242507935,3,512,GRAPH_SAGE,RELU,ADD,RMSPROP,0.0010234005982720602,1e-05,16,14.158681,,0.15403829086537746
Optuna-tpe,134,completed,0.96420818567276,3,512,GRAPH_SAGE,RELU,ADD,RMSPROP,0.000990771024504072,1e-05,16,8.399991,,0.1520613357102723
Optuna-tpe,135,completed,0.7718291878700256,3,512,GRAPH_SAGE,RELU,ADD,RMSPROP,0.0012656166911747542,1e-05,16,15.121735,,0.20858309000138966
Optuna-tpe,136,completed,1.070095181465149,3,512,GRAPH_SAGE,RELU,ADD,RMSPROP,0.0008662037642033251,1e-05,128,2.523373,,0.18697759880139708
Optuna-tpe,137,completed,0.8306596875190735,3,512,GRAPH_SAGE,RELU,ADD,RMSPROP,0.0024072918304282325,1e-05,32,5.7041,,0.16509411267832566
Optuna-tpe,138,completed,0.7024326324462891,3,512,GRAPH_SAGE,RELU,ADD,RMSPROP,0.001097994935090204,1e-05,16,19.19721,,0.17819069395359446
Optuna-tpe,139,completed,0.7187456488609314,3,512,GRAPH_SAGE,RELU,ADD,RMSPROP,0.001057646641323667,1e-05,16,15.282261,,0.1787468342600717
Optuna-tpe,140,completed,1.151486873626709,3,512,GRAPH_SAGE,GELU,ADD,RMSPROP,0.0018366339182587144,1e-05,16,5.685853,,0.18182614308671893
Optuna-tpe,141,completed,0.7277823090553284,3,512,GRAPH_SAGE,RELU,ADD,RMSPROP,0.0011124068701561065,1e-05,16,16.689275,,0.1990526950974108
Optuna-tpe,142,completed,0.9860671758651733,3,512,GRAPH_SAGE,RELU,ADD,RMSPROP,0.004427510122490148,1e-05,16,18.635095,,0.21812405830351445
Optuna-tpe,143,completed,0.8269749879837036,3,512,GRAPH_SAGE,RELU,ADD,RMSPROP,0.001373579525041992,1e-05,16,11.161571,,0.17363493970356475
Optuna-tpe,144,completed,0.6873382329940796,3,512,GRAPH_SAGE,RELU,ADD,RMSPROP,0.0008540295813783918,1e-05,16,19.306974,,0.15101879033952248
Optuna-tpe,145,completed,0.8914009928703308,3,512,GRAPH_SAGE,RELU,ADD,RMSPROP,0.0008776491567586986,1e-05,16,8.411849,,0.2040211934856342
Optuna-tpe,146,completed,0.749970555305481,3,512,GRAPH_SAGE,RELU,ADD,RMSPROP,0.001217309893270028,1e-05,16,17.851414,,0.1597844870917669
Optuna-tpe,147,completed,8.976007461547852,3,512,GRAPH_SAGE,TANH,ADD,RMSPROP,0.000779624675364235,1e-05,16,12.406154,,0.1483327395471346
Optuna-tpe,148,completed,0.8492609262466431,3,512,GRAPH_SAGE,RELU,ADD,RMSPROP,0.0015820355901229885,1e-05,16,13.828353,,0.17960373448287323
Optuna-tpe,149,completed,0.6945960521697998,3,512,GRAPH_SAGE,RELU,ADD,RMSPROP,0.0009475590510590241,1e-05,16,16.645797,,0.16326797443642316
